bank_file,question_id,skill_id,domain_code,question,answer_mode,difficulty,notes
"1","Q15","R1.T2.A2","WU001","How many syllables does the word 'butterfly' have?","choice","1",""
"1","Q16","R1.T3.A2","WU002","Say 'frog' without the /r/ sound. What word do you get?","choice","2",""
"1","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'thumb'?","choice","2",""
"1","Q18","R4.T1.A2","WU004","What did Sam do FIRST?","choice","3",""
"1","Q19","R4.T2.A2","WU005","What does the word 'rickety' mean in this sentence?","choice","4",""
"1","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"1","Q21","R4.T3.A2","WU007","Why was the match cancelled?","choice","4",""
"1","Q22","R5.T2.A1","WU008","What does the word 'significant' mean in this context?","choice","5",""
"1","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"1","Q24","R2.T1.A3","WU010","Which spelling is correct for /b/-/i/-/g/?","choice","2",""
"1","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"2","Q15","R1.T2.A2","WU001","How many syllables does the word 'elephant' have?","choice","1",""
"2","Q16","R1.T3.A2","WU002","Say 'smile' without the /s/ sound. What word do you get?","choice","2",""
"2","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'ship'?","choice","2",""
"2","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"2","Q19","R4.T2.A2","WU005","What does the word 'famished' mean in this sentence?","choice","4",""
"2","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"2","Q21","R4.T3.A2","WU007","Why did the plant wilt?","choice","4",""
"2","Q22","R5.T2.A1","WU008","What does the word 'alleviate' mean in this context?","choice","5",""
"2","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"2","Q24","R2.T1.A3","WU010","Which spelling is correct for /h/-/o/-/p/?","choice","2",""
"2","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"3","Q15","R1.T2.A2","WU001","How many syllables does the word 'cat' have?","choice","1",""
"3","Q16","R1.T3.A2","WU002","Say 'band' without the /b/ sound. What word do you get?","choice","2",""
"3","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'chair'?","choice","2",""
"3","Q18","R4.T1.A2","WU004","What happened LAST?","choice","3",""
"3","Q19","R4.T2.A2","WU005","What does the word 'dim' mean in this sentence?","choice","4",""
"3","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"3","Q21","R4.T3.A2","WU007","What caused Jake to pass his exam?","choice","4",""
"3","Q22","R5.T2.A1","WU008","What does the word 'persuade' mean in this context?","choice","5",""
"3","Q23","R5.T1.A2","WU009","What does the author want readers to do?","choice","4",""
"3","Q24","R2.T1.A3","WU010","Which spelling is correct for /f/-/i/-/sh/?","choice","2",""
"3","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"4","Q15","R1.T2.A2","WU001","How many syllables does the word 'happy' have?","choice","1",""
"4","Q16","R1.T3.A2","WU002","Say 'flat' without the /l/ sound. What word do you get?","choice","2",""
"4","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'phone'?","choice","2",""
"4","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"4","Q19","R4.T2.A2","WU005","What does the word 'timid' mean in this sentence?","choice","4",""
"4","Q20","R4.T3.A1","WU006","What is the purpose of this text?","choice","4",""
"4","Q21","R4.T3.A2","WU007","What caused the neighbours to wake up?","choice","4",""
"4","Q22","R5.T2.A1","WU008","What does the word 'highlighted' mean in this context?","choice","5",""
"4","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"4","Q24","R2.T1.A3","WU010","Which spelling is correct for /k/-/a/-/t/?","choice","2",""
"4","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"5","Q15","R1.T2.A2","WU001","How many syllables does the word 'umbrella' have?","choice","1",""
"5","Q16","R1.T3.A2","WU002","Say 'slip' without the /l/ sound. What word do you get?","choice","2",""
"5","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'wren'?","choice","2",""
"5","Q18","R4.T1.A2","WU004","What did Tom do AFTER picking up his bag?","choice","3",""
"5","Q19","R4.T2.A2","WU005","What does the word 'jubilant' mean in this sentence?","choice","4",""
"5","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"5","Q21","R4.T3.A2","WU007","Why did the ice cream melt?","choice","4",""
"5","Q22","R5.T2.A1","WU008","What does the word 'mandate' mean in this context?","choice","5",""
"5","Q23","R5.T1.A2","WU009","What does the author want readers to think?","choice","4",""
"5","Q24","R2.T1.A3","WU010","Which spelling is correct for /d/-/o/-/g/?","choice","2",""
"5","Q25","R2.T3.A2","WU011","Read this word out loud.","voice","3",""
"6","Q15","R1.T2.A2","WU001","How many syllables does the word 'sun' have?","choice","1",""
"6","Q16","R1.T3.A2","WU002","Say 'snap' without the /n/ sound. What word do you get?","choice","2",""
"6","Q17","R1.T3.A3","WU003","What is the FIRST sound in 'knit'?","choice","2",""
"6","Q18","R4.T1.A2","WU004","What is this passage mostly about?","choice","3",""
"6","Q19","R4.T2.A2","WU005","What does the word 'vast' mean in this sentence?","choice","4",""
"6","Q20","R4.T3.A1","WU006","What type of text is this?","choice","4",""
"6","Q21","R4.T3.A2","WU007","Why was he tired at school?","choice","4",""
"6","Q22","R5.T2.A1","WU008","What does the word 'demonstrated' mean in this context?","choice","5",""
"6","Q23","R5.T1.A2","WU009","Why did the author write this?","choice","4",""
"6","Q24","R2.T1.A3","WU010","Which spelling is correct for /p/-/e/-/n/?","choice","2",""
