domain,domain_label,ref,question,expected,difficulty,notes
"M001","Counting and Cardinality","1.1","Count these dots. How many are there?","5","1",""
"M001","Counting and Cardinality","1.2","Count these dots. How many are there?","6","1",""
"M001","Counting and Cardinality","1.3","Count these dots. How many are there?","7","1",""
"M001","Counting and Cardinality","1.4","Count these dots. How many are there?","8","1",""
"M001","Counting and Cardinality","1.5","Count these dots. How many are there?","9","1",""
"M001","Counting and Cardinality","1.6","Count these dots. How many are there?","10","1",""
"M001","Counting and Cardinality","1.7","Count these dots. How many are there?","11","1",""
"M001","Counting and Cardinality","1.8","Count these dots. How many are there?","12","1",""
"M001","Counting and Cardinality","1.9","Count these dots. How many are there?","13","1",""
"M001","Counting and Cardinality","1.10","Count these dots. How many are there?","14","1",""
"M001","Counting and Cardinality","1.11","Count these dots. How many are there?","15","1",""
"M001","Counting and Cardinality","1.12","Count these dots. How many are there?","16","1",""
"M001","Counting and Cardinality","1.13","Count these dots. How many are there?","17","1",""
"M001","Counting and Cardinality","1.14","Count these dots. How many are there?","18","1",""
"M001","Counting and Cardinality","1.15","Count these dots. How many are there?","19","1",""
"M001","Counting and Cardinality","1.16","Count these dots. How many are there?","20","1",""
"M001","Counting and Cardinality","1.17","Count these dots. How many are there?","5","1",""
"M001","Counting and Cardinality","1.18","Count these dots. How many are there?","7","1",""
"M001","Counting and Cardinality","1.19","Count these dots. How many are there?","9","1",""
"M001","Counting and Cardinality","1.20","Count these dots. How many are there?","11","1",""
"M001","Counting and Cardinality","1.21","Count these dots. How many are there?","13","1",""
"M001","Counting and Cardinality","1.22","Count these dots. How many are there?","15","1",""
"M001","Counting and Cardinality","1.23","Count these dots. How many are there?","6","1",""
"M001","Counting and Cardinality","1.24","Count these dots. How many are there?","8","1",""
"M001","Counting and Cardinality","1.25","Count these dots. How many are there?","10","1",""
"M001","Counting and Cardinality","1.26","Count these dots. How many are there?","12","2",""
"M001","Counting and Cardinality","1.27","Count these dots. How many are there?","14","2",""
"M001","Counting and Cardinality","1.28","Count these dots. How many are there?","16","2",""
"M001","Counting and Cardinality","1.29","Count these dots. How many are there?","18","2",""
"M001","Counting and Cardinality","1.30","Count these dots. How many are there?","20","2",""
"M001","Counting and Cardinality","1.31","Count these dots. How many are there?","7","2",""
"M001","Counting and Cardinality","1.32","Count these dots. How many are there?","9","2",""
"M001","Counting and Cardinality","1.33","Count these dots. How many are there?","11","2",""
"M001","Counting and Cardinality","1.34","Count these dots. How many are there?","13","2",""
"M001","Counting and Cardinality","1.35","Count these dots. How many are there?","15","2",""
"M001","Counting and Cardinality","1.36","Count these dots. How many are there?","17","2",""
"M001","Counting and Cardinality","1.37","Count these dots. How many are there?","19","2",""
"M001","Counting and Cardinality","1.38","Count these dots. How many are there?","5","2",""
"M001","Counting and Cardinality","1.39","Count these dots. How many are there?","6","2",""
"M001","Counting and Cardinality","1.40","Count these dots. How many are there?","8","2",""
"M001","Counting and Cardinality","1.41","Count these dots. How many are there?","10","2",""
"M001","Counting and Cardinality","1.42","Count these dots. How many are there?","12","2",""
"M001","Counting and Cardinality","1.43","Count these dots. How many are there?","14","2",""
"M001","Counting and Cardinality","1.44","Count these dots. How many are there?","16","2",""
"M001","Counting and Cardinality","1.45","Count these dots. How many are there?","18","2",""
"M001","Counting and Cardinality","1.46","Count these dots. How many are there?","20","2",""
"M001","Counting and Cardinality","1.47","Count these dots. How many are there?","7","2",""
"M001","Counting and Cardinality","1.48","Count these dots. How many are there?","11","2",""
"M001","Counting and Cardinality","1.49","Count these dots. How many are there?","15","2",""
"M001","Counting and Cardinality","1.50","Count these dots. How many are there?","9","2",""
"M002","Number Sequences","2.1","What number comes next?","4","1",""
"M002","Number Sequences","2.2","What number comes next?","8","1",""
"M002","Number Sequences","2.3","What number comes next?","20","1",""
"M002","Number Sequences","2.4","What number comes next?","40","1",""
"M002","Number Sequences","2.5","Fill in the missing number.","4","1",""
"M002","Number Sequences","2.6","What number comes next?","7","1",""
"M002","Number Sequences","2.7","What number was first?","3","1",""
"M002","Number Sequences","2.8","What number comes next?","10","1",""
"M002","Number Sequences","2.9","What number comes next?","30","1",""
"M002","Number Sequences","2.10","What number comes next?","50","1",""
"M002","Number Sequences","2.11","Fill in the missing number.","8","1",""
"M002","Number Sequences","2.12","What number comes next?","12","1",""
"M002","Number Sequences","2.13","What number was first?","7","1",""
"M002","Number Sequences","2.14","What number comes next?","12","1",""
"M002","Number Sequences","2.15","What number comes next?","25","1",""
"M002","Number Sequences","2.16","What number comes next?","60","1",""
"M002","Number Sequences","2.17","Fill in the missing number.","12","1",""
"M002","Number Sequences","2.18","What number comes next?","17","1",""
"M002","Number Sequences","2.19","What number was first?","1","1",""
"M002","Number Sequences","2.20","What number comes next?","14","1",""
"M002","Number Sequences","2.21","What number comes next?","35","1",""
"M002","Number Sequences","2.22","What number comes next?","70","1",""
"M002","Number Sequences","2.23","Fill in the missing number.","14","1",""
"M002","Number Sequences","2.24","What number comes next?","9","1",""
"M002","Number Sequences","2.25","What number was first?","5","1",""
"M002","Number Sequences","2.26","What number comes next?","16","2",""
"M002","Number Sequences","2.27","What number comes next?","40","2",""
"M002","Number Sequences","2.28","What number comes next?","80","2",""
"M002","Number Sequences","2.29","Fill in the missing number.","17","2",""
"M002","Number Sequences","2.30","What number comes next?","6","2",""
"M002","Number Sequences","2.31","What number was first?","10","2",""
"M002","Number Sequences","2.32","What number comes next?","18","2",""
"M002","Number Sequences","2.33","What number comes next?","45","2",""
"M002","Number Sequences","2.34","What number comes next?","90","2",""
"M002","Number Sequences","2.35","Fill in the missing number.","19","2",""
"M002","Number Sequences","2.36","What number comes next?","3","2",""
"M002","Number Sequences","2.37","What number was first?","13","2",""
"M002","Number Sequences","2.38","What number comes next?","20","2",""
"M002","Number Sequences","2.39","What number comes next?","50","2",""
"M002","Number Sequences","2.40","What number comes next?","100","2",""
"M002","Number Sequences","2.41","Fill in the missing number.","4","2",""
"M002","Number Sequences","2.42","What number comes next?","13","2",""
"M002","Number Sequences","2.43","What number was first?","16","2",""
"M002","Number Sequences","2.44","What number comes next?","22","2",""
"M002","Number Sequences","2.45","What number comes next?","55","2",""
"M002","Number Sequences","2.46","Fill in the missing number.","2","2",""
"M002","Number Sequences","2.47","Fill in the missing number.","6","2",""
"M002","Number Sequences","2.48","What number was first?","18","2",""
"M002","Number Sequences","2.49","What number comes next?","15","2",""
"M002","Number Sequences","2.50","What number comes next?","24","2",""
"M003","Place Value","3.1","How many tens? How many ones? Fill in both boxes.","2,3","2",""
"M003","Place Value","3.2","How many tens? How many ones? Fill in both boxes.","3,4","2",""
"M003","Place Value","3.3","How many tens? How many ones? Fill in both boxes.","4,7","2",""
"M003","Place Value","3.4","How many tens? How many ones? Fill in both boxes.","5,2","2",""
"M003","Place Value","3.5","How many tens? How many ones? Fill in both boxes.","6,1","2",""
"M003","Place Value","3.6","How many tens? How many ones? Fill in both boxes.","7,3","2",""
"M003","Place Value","3.7","How many tens? How many ones? Fill in both boxes.","8,4","2",""
"M003","Place Value","3.8","How many tens? How many ones? Fill in both boxes.","9,6","2",""
"M003","Place Value","3.9","How many tens? How many ones? Fill in both boxes.","2,8","2",""
"M003","Place Value","3.10","How many tens? How many ones? Fill in both boxes.","3,9","2",""
"M003","Place Value","3.11","How many tens? How many ones? Fill in both boxes.","4,5","2",""
"M003","Place Value","3.12","How many tens? How many ones? Fill in both boxes.","5,8","2",""
"M003","Place Value","3.13","How many tens? How many ones? Fill in both boxes.","6,2","2",""
"M003","Place Value","3.14","How many tens? How many ones? Fill in both boxes.","7,5","2",""
"M003","Place Value","3.15","How many tens? How many ones? Fill in both boxes.","8,3","2",""
"M003","Place Value","3.16","How many tens? How many ones? Fill in both boxes.","9,1","2",""
"M003","Place Value","3.17","How many tens? How many ones? Fill in both boxes.","2,7","2",""
"M003","Place Value","3.18","How many tens? How many ones? Fill in both boxes.","3,6","2",""
"M003","Place Value","3.19","How many tens? How many ones? Fill in both boxes.","4,9","2",""
"M003","Place Value","3.20","How many tens? How many ones? Fill in both boxes.","5,4","2",""
"M003","Place Value","3.21","How many tens? How many ones? Fill in both boxes.","6,8","2",""
"M003","Place Value","3.22","How many tens? How many ones? Fill in both boxes.","7,2","2",""
"M003","Place Value","3.23","How many tens? How many ones? Fill in both boxes.","8,6","2",""
"M003","Place Value","3.24","How many tens? How many ones? Fill in both boxes.","9,3","2",""
"M003","Place Value","3.25","How many tens? How many ones? Fill in both boxes.","2,1","2",""
"M003","Place Value","3.26","How many tens? How many ones? Fill in both boxes.","3,5","3",""
"M003","Place Value","3.27","How many tens? How many ones? Fill in both boxes.","4,6","3",""
